# timestamp tx ty tz qx qy qz qw
1671569432.96085024 -4.89185524 3.85473895 0.66886514 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.01103139 -4.88576317 3.86333466 0.67934477 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.06091857 -4.87893152 3.87105227 0.69132543 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.11110520 -4.87124300 3.87822604 0.70593214 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.16096115 -4.86587858 3.88463902 0.72291678 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.21107483 -4.86109018 3.89071488 0.74337453 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.26107287 -4.85609198 3.89675021 0.76571000 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.31110072 -4.85109425 3.90280914 0.79358876 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.36119509 -4.85006666 3.90791464 0.82470798 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.41121411 -4.85054541 3.91281319 0.86039382 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.46079516 -4.85153055 3.91790080 0.89901215 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.51128292 -4.85341024 3.92222667 0.94163972 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.56081223 -4.85621214 3.92475390 0.98848844 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.61139321 -4.85993004 3.92745256 1.03833401 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.66093230 -4.86448812 3.93057823 1.09073377 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.71145010 -4.86990452 3.93430591 1.14648449 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.76139021 -4.87048149 3.93842673 1.20850861 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.81256795 -4.87081814 3.94341278 1.27242053 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.86109710 -4.87258863 3.94926763 1.33774912 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.91081524 -4.87573528 3.95623827 1.39998651 0.00000000 0.00000000 0.00000000 1.00000000
1671569433.96142769 -4.87880850 3.96244478 1.46509147 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.01098919 -4.88278675 3.96992993 1.53088105 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.06123257 -4.88768435 3.97964382 1.59880257 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.11111426 -4.89326286 3.99196362 1.66748381 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.16122866 -4.90266895 4.00769997 1.73904383 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.21119404 -4.91284037 4.02688122 1.80903423 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.26113367 -4.92222214 4.04947948 1.87793028 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.31120944 -4.93079901 4.07596588 1.94573212 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.36127162 -4.93429041 4.11011314 2.01321840 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.41145658 -4.93517733 4.14916945 2.07795048 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.46144319 -4.93438339 4.19186354 2.14211607 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.51124930 -4.93114090 4.23849583 2.20574880 0.00000000 0.00000000 0.00000000 1.00000000
1671569434.56077147 -4.92570162 4.28903055 2.26823735 0.00000000 0.00000000 0.00000000 1.00000000
