# timestamp tx ty tz qx qy qz qw
1658858422.04455900 5.08802700 9.03280640 -0.79796058 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.07337880 5.08962679 9.02822304 -0.79965490 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.12396932 5.09095144 9.02451324 -0.80147278 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.17629981 5.09218073 9.01753616 -0.80261135 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.22371697 5.09314632 9.01049042 -0.80381095 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.29003406 5.09384823 9.00458813 -0.80405658 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.33130503 5.09434986 8.99966335 -0.80362862 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.37536740 5.09673882 8.99167252 -0.80236638 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.42334747 5.09933662 8.98371983 -0.80110580 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.47381783 5.10153389 8.97700310 -0.80072510 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.52329874 5.10336971 8.97131824 -0.80092764 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.57388282 5.10436773 8.96592045 -0.80214411 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.62320209 5.10352039 8.95980358 -0.80493873 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.67310405 5.10262012 8.95471001 -0.80763084 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.72330761 5.10166693 8.95048237 -0.81029892 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.78120470 5.10404301 8.94628143 -0.81067359 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.82606435 5.10702610 8.94271088 -0.81091714 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.87314439 5.10953331 8.93988705 -0.81177616 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.92312431 5.11165571 8.93770790 -0.81317633 0.00000000 0.00000000 0.00000000 1.00000000
1658858422.97317195 5.11748552 8.93327236 -0.81314397 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.02314425 5.12384176 8.92883682 -0.81341279 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.07323956 5.12943459 8.92524624 -0.81439447 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.12297344 5.13439369 8.92237091 -0.81600612 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.17390513 5.14044237 8.91660690 -0.81537461 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.22302914 5.14631367 8.91073322 -0.81448561 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.27309322 5.15152311 8.90582466 -0.81409818 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.33063149 5.15619278 8.90172768 -0.81427062 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.38726974 5.16195488 8.89824390 -0.81335199 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.42270041 5.16756344 8.89544106 -0.81243771 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.47368503 5.17256308 8.89325809 -0.81194937 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.52378297 5.17704630 8.89159393 -0.81187916 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.57307959 5.17923021 8.88753891 -0.81119728 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.62368774 5.18059111 8.88338947 -0.81062812 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.67366910 5.18178082 8.88000965 -0.81043971 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.72290969 5.18282509 8.87725925 -0.81063080 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.77307510 5.18325520 8.87203789 -0.81193990 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.83573413 5.18341827 8.86675549 -0.81348097 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.87781334 5.18352413 8.86232471 -0.81504697 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.92295337 5.18357182 8.85862350 -0.81666487 0.00000000 0.00000000 0.00000000 1.00000000
1658858423.97354412 5.18575764 8.85377789 -0.81811416 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.02364182 5.18831635 8.84916973 -0.81962931 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.07346177 5.19055080 8.84530544 -0.82186478 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.12373209 5.19253302 8.84207916 -0.82471782 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.17367077 5.19454765 8.83946991 -0.82451195 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.22358227 5.19640446 8.83742523 -0.82394046 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.27375960 5.19805336 8.83584309 -0.82366425 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.32874322 5.19952345 8.83467770 -0.82369196 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.38359499 5.19842482 8.83366013 -0.82225943 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.42558098 5.19669104 8.83298111 -0.82071137 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.47364640 5.19512177 8.83264828 -0.81966746 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.52360749 5.19368839 8.83261776 -0.81909692 0.00000000 0.00000000 0.00000000 1.00000000
1658858424.57351351 5.19405699 8.83095932 -0.81689906 0.00000000 0.00000000 0.00000000 1.00000000
